,atividade,data
0,Lançamento do Edital na página eletrônica da FAPEG e no DOE Limite para impugnação do Edital ,6 de junho de 2019 11 de junho de 2019 
1,Disponibilização do formulário no sistema FAPEGestor ,12 de junho de 2019 
