,ATIVIDADES,DATA
0,Lançamento do Edital na página eletrônica da FAPEG,15/09/2021
1,Publicação no DOE,15/09/2021
2,Limite para impugnação do edital,21/09/2021
3,Disponibilização do formulário no sistema OPP FAPEG,22/09/2021
4,Limite para submissão eletrônica das propostas,25/10/2021
5,"Divulgação do resultado preliminar dos projetos aprovados na etapa deenquadramento – Atendimento dos Requisitos Formais",03/11/2021
6,Prazo para interposição de recursos referentes à etapa de enquadramento,"04/11/2021 a18/11/2021"
7,"Divulgaçãodoresultadofinaldosprojetosaprovadosnaetapadeenquadramento – Atendimento dos Requisitos Formais.",23/11/2021
