,"Divulgação da lista preliminar de proponentes habilitados para aentrevista",10/10/2020
0,"Prazo para interposição de recursos sobre o resultado da habilitação paraa etapa de entrevistas",11/10/2020 a 24/10/2020
1,"Divulgação da lista definitiva de proponentes habilitados para a etapa deentrevistas",25/10/2020
2,Realização da etapa de entrevistas,26/10/2020 a 30/10/2020
3,Divulgação do resultado do processo seletivo,03/11/2020
4,"Prazo para interposição de recursos sobre o resultado do processoseletivo.",03/04/2020 a 17/11/2020
5,Divulgação do resultado final do processo seletivo,20/11/2020
