,Critérios de Análise e Julgamento,Nota (0 a 10)
0,I - Relevância e mérito técnico-científico da proposta,0 a 10
1,II - Qualidade da proposta quanto ao seu potencial de gerar conhecimento,0 a 10
2,"relevante para fortalecer o desempenho científico, cultural e tecnológico do",
3,estado de Goiás,
4,III – Desempenho no processo de seleção ao PPGSS,0 a 10
5,IV – Análise Curricular,0 a 10
