,Critérios de Análise e Julgamento,Nota (0 a 10)
0,I - Relevância e mérito técnico-científico da proposta,
1,II - Qualidade da proposta quanto ao seu potencial de gerar conhecimento relevante,
2,"para fortalecer o desempenho científico, cultural e tecnológico do estado de Goiás",
3,III – Desempenho no processo de seleção ao PPGSS,
4,IV – Análise Curricular,
