,CRITÉRIOS DE ANÁLISE E JULGAMENTO,PONTUAÇÃO
0,Critérios técnicos e científicos,
1,"-Clareza dos objetivos, relevância e caráter de inovação;-Viabilidade técnica de execução do projeto;-Adequação da metodologia aos objetivos propostos.",0 a 10 pontos
2,"Aplicação dos resultados-Aplicação dos resultados a curto ou médio prazo.",0 a 10 pontos
3,Critérios gerenciais e financeiros,
4,"-Coerência do orçamento com os objetivos, atividades eresultados propostos;-Coerência dos itens financiáveis solicitados com o valor demercado (Exclusivo para linha de fomento 2).",0 a 10 pontos
