,FASES,DATAS
0,"Lançamento da chamada na página eletrônica daFAPEG e no DOE",15/06/2022
1,Prazo limite para impugnação do edital,25/06/2022
2,Inscrições - na plataforma OPP FAPEG,15/06/2022 à 22/07/2022
3,Análise Documental e Curricular – Fase 1,26/07/2022 a 29/07/2022
4,Divulgação do resultado preliminar da Fase 1,01/08/2022
5,"Prazo para interposição de recursos sobre oresultado da fase 1",02/08/2022 a 15/08/2022
6,Divulgação do resultado final da Fase 1,19/08/2022
7,Realização da etapa de entrevistas,"22, 23, 24, 25 e 26/08/2022"
8,"Divulgação do resultado preliminar do processoseletivo",30/08/2022
9,"Prazo para interposição de recursos sobre oresultado do processo seletivo.",31/08/2022 a 14/09/2022
10,Divulgação do resultado final do processo seletivo,19/09/2022
