,atividade,data
0,Lançamento da chamada na página eletrônica da FAPEG e no DOE ,06/04/2021 
1,Prazo limite para impugnação do edital ,13/04/2021 
2,Inscrições - na plataforma OPP FAPEG ,14/04/2021 a 13/05/2021 
3,Análise das Inscrições ,14/05/2021 a 18/05/2021 
4,Resultado preliminar de proponentes habilitados na etapa de ,19/05/2021 
5,enquadramento Prazo para interposição de recursos sobre o resultado da habilitação na etapa de enquadramento ,20/05/2021 a 02/06/2021 
6,Resultado final de proponentes habilitados para habilitação na etapa de ,09/06/2021 
7,enquadramento Realização da etapa de Mérito – Análise Curricular Divulgação do resultado preliminar da etapa de Mérito – Análise Curricular ,09/06/2021 a 14/06/2021 15/06/2021 
8,Prazo para interposição de recursos sobre o resultado da etapa de ,16/06/2021 a 29/06/2021 
9,Mérito – Análise Curricular Divulgação do resultado final da etapa de Mérito – Análise Curricular Realização da etapa de Mérito – Entrevistas Divulgação do resultado preliminar da etapa de Mérito – Entrevistas Prazo para interposição de recursos sobre o resultado da etapa de Mérito – Entrevistas ,05/07/2021 06/07/2021 08/07/2021 09/07/2021 a 22/07/2021 
10,Divulgação do resultado final da seleção ,26/07/2021 
11,"Prazo para que o bolsista selecionado entregue a documentação, com ",30/07/2021 
12,"vistas à assinatura do Termo de Outorga Término do prazo para a FAPEG concluir os procedimentos internos voltados à formalização do termo de outorga, com as devidas ",Até 13/08/2021 
13,assinaturas Início da implementação da bolsa ,"A partir da formalização do termo de outorga, com as devidas assinaturas, e de acordo com a disponibilidade orçamentária da FAPEG. "
