,atividade,data
0,Lançamento da chamada na página eletrônica da FAPEG e no DOE ,20/08/2020 
1,Prazo limite para impugnação do edital ,24/08/2020 
2,Inscrições - na plataforma OPP FAPEG ,27/08/2019 a 27/09/2020 
